wav,scat,abs
400,1.0839618669183e-17,5.35753426409053e-16
401,1.07286353017212e-17,5.34262401777161e-16
402,1.06179148114155e-17,5.32806942555824e-16
403,1.05078048878914e-17,5.31393397276268e-16
404,1.03986387601499e-17,5.30028088495306e-16
405,1.02907360147426e-17,5.28717359629061e-16
406,1.01844034848059e-17,5.2746760984419e-16
407,1.00799362062723e-17,5.26285317389124e-16
408,9.9776184390916e-18,5.25177051715616e-16
409,9.87772475232746e-18,5.24149474679719e-16
410,9.78052116181336e-18,5.23209330709384e-16
411,9.68617880639985e-18,5.22360905904254e-16
412,9.59456816494729e-18,5.21599895278763e-16
413,9.50550232588902e-18,5.20920161297874e-16
414,9.41880116498746e-18,5.20315575041019e-16
415,9.33429062822808e-18,5.19780017571364e-16
416,9.25180208948066e-18,5.19307380678649e-16
417,9.17117177858881e-18,5.18891567068351e-16
418,9.09224027599669e-18,5.18526490047748e-16
419,9.01485207050729e-18,5.182060727403e-16
420,8.93885517903061e-18,5.17924246939765e-16
421,8.86411495013064e-18,5.17675682135214e-16
422,8.79054734040136e-18,5.17457543755207e-16
423,8.71808013350804e-18,5.17267534676668e-16
424,8.64664251283262e-18,5.17103365081803e-16
425,8.57616497683026e-18,5.16962751397231e-16
426,8.50657926388284e-18,5.16843415035567e-16
427,8.43781828629445e-18,5.1674308093069e-16
428,8.36981607314428e-18,5.166594758573e-16
429,8.30250772170368e-18,5.16590326524867e-16
430,8.23582936069563e-18,5.16533357373747e-16
431,8.16974282280317e-18,5.16485846363806e-16
432,8.10429371998828e-18,5.16443541737104e-16
433,8.03954376695368e-18,5.16401807065661e-16
434,7.97555286481648e-18,5.16355935693024e-16
435,7.91237912769596e-18,5.16301150766261e-16
436,7.85007888034323e-18,5.16232603849801e-16
437,7.78870662752158e-18,5.16145372105485e-16
438,7.72831499586261e-18,5.16034454029845e-16
439,7.66895464890598e-18,5.15894763749764e-16
440,7.61067416770159e-18,5.15721124671397e-16
441,7.5534653884991e-18,5.15513425989812e-16
442,7.49713722900924e-18,5.15289068883208e-16
443,7.44146708803e-18,5.15069445406279e-16
444,7.38624049751521e-18,5.14876294314277e-16
445,7.3312507628361e-18,5.14731701070168e-16
446,7.27629821680003e-18,5.14658085974719e-16
447,7.22118909807539e-18,5.14678180591488e-16
448,7.16573406279776e-18,5.14814992273944e-16
449,7.10974633539791e-18,5.15091756028382e-16
450,7.05303951964862e-18,5.15531871206184e-16
451,6.99553776408818e-18,5.16152991871334e-16
452,6.93753864463453e-18,5.16953144104854e-16
453,6.87941155294696e-18,5.1792630117153e-16
454,6.82152039396641e-18,5.19066684342776e-16
455,6.76422626130879e-18,5.20368908014979e-16
456,6.70788982063362e-18,5.21828086163982e-16
457,6.65287342676652e-18,5.23439899160446e-16
458,6.59954300077706e-18,5.25200618977654e-16
459,6.5482696920221e-18,5.27107089860216e-16
460,6.49943133713444e-18,5.29156661255635e-16
461,6.45335415523058e-18,5.31351112701917e-16
462,6.41017253696584e-18,5.33706178542943e-16
463,6.36998694496446e-18,5.36241012859017e-16
464,6.33290723979398e-18,5.38975454396341e-16
465,6.29905447287336e-18,5.41930128458739e-16
466,6.26856287359203e-18,5.45126563140547e-16
467,6.24158206615323e-18,5.48587321330067e-16
468,6.21827955909537e-18,5.52336150215704e-16
469,6.19884355949638e-18,5.56398150384597e-16
470,6.18348617076435e-18,5.60799965739138e-16
471,6.17242381201792e-18,5.65562827400514e-16
472,6.16582027050857e-18,5.70685046665765e-16
473,6.16383990804671e-18,5.76159526204722e-16
474,6.16666229378697e-18,5.81978343407841e-16
475,6.17448156005907e-18,5.88132464575107e-16
476,6.1875055785217e-18,5.9461142761071e-16
477,6.20595489514748e-18,6.01402988207411e-16
478,6.23006135220387e-18,6.08492724242221e-16
479,6.26006631335887e-18,6.1586359291529e-16
480,6.29621839087478e-18,6.23495434470792e-16
481,6.33875349873849e-18,6.31361068582036e-16
482,6.38784445392106e-18,6.3941725233314e-16
483,6.44362868143714e-18,6.47611796982989e-16
484,6.50620899310595e-18,6.5588487968419e-16
485,6.57564205681605e-18,6.64168116624142e-16
486,6.65192506749859e-18,6.7238363052767e-16
487,6.73498052417702e-18,6.80443145789379e-16
488,6.82463909254616e-18,6.88247157432536e-16
489,6.92062064503492e-18,6.95684235571699e-16
490,7.02251373002666e-18,7.02630548208754e-16
491,7.12976330349391e-18,7.08966544269869e-16
492,7.2417134911008e-18,7.14620950407459e-16
493,7.35764054097967e-18,7.19534680295185e-16
494,7.47675947706969e-18,7.23651642166648e-16
495,7.59823237189426e-18,7.26920364322777e-16
496,7.72117891345179e-18,7.29295665264606e-16
497,7.84468922019861e-18,7.30740314392061e-16
498,7.96783873138533e-18,7.31226622331146e-16
499,8.08970486532192e-18,7.30737895965096e-16
500,8.20938499911746e-18,7.29269689170479e-16
501,8.32597677892138e-18,7.26812651724796e-16
502,8.4384534144381e-18,7.23307836905592e-16
503,8.54569427063568e-18,7.18689989707331e-16
504,8.64651355755979e-18,7.12901199352109e-16
505,8.73967665561383e-18,7.05893016295387e-16
506,8.82392057331048e-18,6.97628612790378e-16
507,8.89797843146576e-18,6.88084899241739e-16
508,8.96060759859417e-18,6.77254491800372e-16
509,9.01062079576083e-18,6.65147414078051e-16
510,9.04691920766308e-18,6.51792414958162e-16
511,9.06871110534458e-18,6.37258990284924e-16
512,9.07600054203634e-18,6.21702884815407e-16
513,9.06916155435781e-18,6.05303091749368e-16
514,9.04879918551118e-18,5.8824226492737e-16
515,9.01572058536318e-18,5.7070207551698e-16
516,8.97090093541046e-18,5.52858960763825e-16
517,8.91544644447389e-18,5.34880447973986e-16
518,8.85055661806246e-18,5.16922178870484e-16
519,8.77748778096527e-18,4.99125698070891e-16
520,8.69751945422667e-18,4.81617008602089e-16
521,8.61182619630326e-18,4.64493941803216e-16
522,8.52122790806999e-18,4.47801897874226e-16
523,8.42643412490351e-18,4.31569981451526e-16
524,8.3281068314687e-18,4.15820227354391e-16
525,8.22685898042857e-18,4.00568301072474e-16
526,8.12325411230849e-18,3.85824198627239e-16
527,8.01780688263673e-18,3.71592929170459e-16
528,7.91098431433599e-18,3.57875167664233e-16
529,7.80320760956947e-18,3.44667868551432e-16
530,7.69485437597196e-18,3.31964834684236e-16
531,7.58626852478219e-18,3.19758282750143e-16
532,7.4777791695304e-18,3.08041431539896e-16
533,7.36968310374225e-18,2.96805838477795e-16
534,7.26224215379424e-18,2.8604107352824e-16
535,7.15568563082706e-18,2.75735095831663e-16
536,7.05021282220669e-18,2.65874589913736e-16
537,6.94599546875559e-18,2.5644526284646e-16
538,6.84318018574885e-18,2.47432104390506e-16
539,6.74189079600353e-18,2.38819612583502e-16
540,6.64223054704909e-18,2.3059198714951e-16
541,6.54426587591987e-18,2.22732055787435e-16
542,6.44799030538075e-18,2.15219010679364e-16
543,6.35337864911997e-18,2.08032273923247e-16
544,6.26040097097172e-18,2.01152365331762e-16
545,6.16902363004484e-18,1.94560868493832e-16
546,6.07921017553449e-18,1.882403931297e-16
