wav,scat,abs
400,1.04435522575728e-17,6.07189146075735e-16
401,1.03362946977515e-17,6.05646504513304e-16
402,1.02288532087882e-17,6.04125343844067e-16
403,1.01216754655358e-17,6.02638353380405e-16
404,1.00151906692746e-17,6.01198128885571e-16
405,9.90981032426057e-18,5.99817230868325e-16
406,9.80592919539272e-18,5.98508232708693e-16
407,9.70392643566531e-18,5.97283759048286e-16
408,9.60416687458778e-18,5.96156514894654e-16
409,9.50700246097986e-18,5.95139305863046e-16
410,9.41277384197134e-18,5.94245049371129e-16
411,9.32170322935764e-18,5.93482400161289e-16
412,9.23363880650021e-18,5.92845136598964e-16
413,9.14835751218207e-18,5.92323902052277e-16
414,9.06564480585427e-18,5.91909388349445e-16
415,8.9852937022791e-18,5.91592324593942e-16
416,8.90710391014979e-18,5.9136346639173e-16
417,8.83088106802698e-18,5.91213585541039e-16
418,8.75643607187876e-18,5.91133460222182e-16
419,8.68358448934614e-18,5.91113865714293e-16
420,8.61214605885515e-18,5.9114556580324e-16
421,8.54196128463054e-18,5.9122040617472e-16
422,8.47293151819211e-18,5.91333967765217e-16
423,8.40497226033797e-18,5.91482622943161e-16
424,8.33800059815519e-18,5.91662736261746e-16
425,8.27193509958014e-18,5.91870661728251e-16
426,8.20669572146238e-18,5.92102740029546e-16
427,8.14220373075194e-18,5.9235529570946e-16
428,8.07838163847769e-18,5.92624634293848e-16
429,8.01515314622588e-18,5.9290703935963e-16
430,7.95244310959374e-18,5.931987695458e-16
431,7.8902106729115e-18,5.93496062404358e-16
432,7.8285273970646e-18,5.93795144671089e-16
433,7.76748664643708e-18,5.94092208889517e-16
434,7.70717955504634e-18,5.94383409617926e-16
435,7.64769505860859e-18,5.94664862909738e-16
436,7.58911989763344e-18,5.94932643064653e-16
437,7.53153859212218e-18,5.95182776578918e-16
438,7.47503338840549e-18,5.95411233229612e-16
439,7.41968417860033e-18,5.95613914238323e-16
440,7.36556838069021e-18,5.95786638166309e-16
441,7.31267954116134e-18,5.95929707628522e-16
442,7.26073817936638e-18,5.96058951084356e-16
443,7.20941554241234e-18,5.96193736484059e-16
444,7.15839244117657e-18,5.96353749127847e-16
445,7.10735883116957e-18,5.96558983679701e-16
446,7.05601296867046e-18,5.9682970356894e-16
447,7.00406014985631e-18,5.97186367086941e-16
448,6.9512110403253e-18,5.97649518974278e-16
449,6.89717960221041e-18,5.98239645505518e-16
450,6.84168065192764e-18,5.98976989401482e-16
451,6.7845863583634e-18,5.99877672400538e-16
452,6.72629831106223e-18,6.00945115666772e-16
453,6.66732034793151e-18,6.02180273906718e-16
454,6.60814807186949e-18,6.03584573894298e-16
