wav,scat,abs
400,6.19076078817191e-17,2.96845215905816e-15
401,6.12776682620474e-17,2.96048335465479e-15
402,6.0636978336398e-17,2.95204314513305e-15
403,5.9987879937155e-17,2.94320704131025e-15
404,5.9332640745151e-17,2.93405031117946e-15
405,5.86734479783521e-17,2.9246478524543e-15
406,5.80124044044487e-17,2.91507407566828e-15
407,5.73515265397531e-17,2.9054027983014e-15
408,5.66927448907267e-17,2.89570715017531e-15
409,5.60379060933293e-17,2.88605949012861e-15
410,5.53887767649927e-17,2.87653133167615e-15
411,5.47466992178954e-17,2.86717644459615e-15
412,5.41117776580345e-17,2.8579903716366e-15
413,5.34838628195399e-17,2.84895621072636e-15
414,5.28628111899366e-17,2.8400570280013e-15
415,5.22484834869195e-17,2.8312759107851e-15
416,5.16407433790329e-17,2.82259601611103e-15
417,5.10394564345638e-17,2.81400061504726e-15
418,5.04444892841448e-17,2.80547313301919e-15
419,4.98557089836556e-17,2.79699718626122e-15
420,4.92729825642137e-17,2.78855661464595e-15
421,4.86961717557511e-17,2.78013678494427e-15
422,4.81251220368152e-17,2.77172762068198e-15
423,4.75596779025535e-17,2.76332010270177e-15
424,4.69996866853518e-17,2.75490534266047e-15
425,4.64449985456294e-17,2.74647459123111e-15
426,4.5895466495616e-17,2.73801924584777e-15
427,4.53509464539302e-17,2.72953085797364e-15
428,4.48112973288908e-17,2.72100113987096e-15
429,4.42763811284786e-17,2.7124219708469e-15
430,4.37460631394514e-17,2.70378540452691e-15
431,4.32205225940357e-17,2.69509478023159e-15
432,4.27009732731166e-17,2.68639112374579e-15
433,4.21887978264194e-17,2.67772314565008e-15
434,4.16853214577854e-17,2.6691392137858e-15
435,4.11918138496099e-17,2.66068735539556e-15
436,4.07094915215861e-17,2.65241526589502e-15
437,4.02395205972247e-17,2.64437032434842e-15
438,3.97830199534508e-17,2.63659961572089e-15
439,3.93410647308345e-17,2.6291499599857e-15
440,3.89146899845396e-17,2.62206794125299e-15
441,3.85035865827923e-17,2.61535434124608e-15
442,3.81030737014698e-17,2.60885599653217e-15
443,3.77077139224512e-17,2.60238802825671e-15
444,3.73122548346967e-17,2.59576641710918e-15
445,3.69116270112421e-17,2.58880803454312e-15
446,3.65009485127283e-17,2.58133076262541e-15
447,3.60755355764571e-17,2.57315370408981e-15
448,3.56309191233226e-17,2.56409748397989e-15
449,3.51628666691565e-17,2.55398464394197e-15
450,3.46674094528346e-17,2.54264014111185e-15
451,3.41426381847714e-17,2.52996185928004e-15
452,3.35927290345307e-17,2.51608482102075e-15
453,3.30229599771174e-17,2.50119208351511e-15
454,3.243839452658e-17,2.48546421653763e-15
455,3.18438561401966e-17,2.46907872618648e-15
456,3.12439111913706e-17,2.45220959189919e-15
457,3.06428598854894e-17,2.43502691271599e-15
458,3.00447344360589e-17,2.41769665749466e-15
459,2.94533037982075e-17,2.40038051289445e-15
460,2.88720841117937e-17,2.38323581561249e-15
461,2.83034545760609e-17,2.36637614922326e-15
462,2.77466630502033e-17,2.34977979117811e-15
463,2.72003874724887e-17,2.33339618583208e-15
464,2.66633861823954e-17,2.31717370900616e-15
465,2.61344947395748e-17,2.30105945751625e-15
466,2.56126231616362e-17,2.28499902913082e-15
467,2.50967535662166e-17,2.26893629343177e-15
468,2.4585938205384e-17,2.25281315427241e-15
469,2.40792978830519e-17,2.23656930481983e-15
470,2.35760208433851e-17,2.2201419806396e-15
471,2.30758726179093e-17,2.20348821905225e-15
472,2.25803345798509e-17,2.18663813159681e-15
473,2.20911651660886e-17,2.16963654022604e-15
474,2.16100354833583e-17,2.15252759076798e-15
475,2.1138532511504e-17,2.1353549199154e-15
