wav,scat,abs
400,8.48623942070243e-17,2.83556316020612e-15
401,8.39673515081528e-17,2.82815517628257e-15
402,8.30548580509845e-17,2.82026635884714e-15
403,8.21298260836517e-17,2.8119923028119e-15
404,8.1196976158605e-17,2.80342766778966e-15
405,8.026082878227e-17,2.79466603655213e-15
406,7.93257007482009e-17,2.78579980495542e-15
407,7.83957058105871e-17,2.77692010263199e-15
408,7.74747593513538e-17,2.7681167435018e-15
409,7.65665867023538e-17,2.75947820496514e-15
410,7.56747346918891e-17,2.75109163169367e-15
411,7.48016993082234e-17,2.7430202376941e-15
412,7.39468688029661e-17,2.73524917543531e-15
413,7.31090304314675e-17,2.72774735596601e-15
414,7.22870275857712e-17,2.72048410559205e-15
415,7.14797543715925e-17,2.71342917614015e-15
416,7.06861508617286e-17,2.70655275565808e-15
417,6.99051989779198e-17,2.69982547961614e-15
418,6.91359189579453e-17,2.69321844261636e-15
419,6.83773663688191e-17,2.68670321056285e-15
420,6.76286296388327e-17,2.68025183353495e-15
421,6.68888909322012e-17,2.67383938219713e-15
422,6.61575717843862e-17,2.66744992283665e-15
423,6.54341569944155e-17,2.66106958282568e-15
424,6.4718147656328e-17,2.65468470525984e-15
425,6.40090606847704e-17,2.64828185428214e-15
426,6.3306428435789e-17,2.64184782075567e-15
427,6.26097984169907e-17,2.6353696282367e-15
428,6.19187330814456e-17,2.62883453919541e-15
429,6.12328096998472e-17,2.62223006142826e-15
430,6.055162037816e-17,2.61554395626657e-15
431,5.98752791323137e-17,2.60877596150558e-15
432,5.92056002062073e-17,2.60196569684646e-15
433,5.85446868564262e-17,2.59516109546917e-15
434,5.7894561543917e-17,2.5884099397519e-15
435,5.72571684123339e-17,2.5817598561159e-15
436,5.6634376418451e-17,2.57525831595839e-15
437,5.60279830801673e-17,2.56895264288957e-15
438,5.54397188098039e-17,2.56289002648171e-15
439,5.48712518030705e-17,2.55711754273025e-15
440,5.43241931641522e-17,2.55168217472961e-15
441,5.37981840295837e-17,2.54658669600148e-15
442,5.3286446407049e-17,2.54168467592406e-15
443,5.27810722731717e-17,2.53679833564414e-15
444,5.22744038786395e-17,2.5317500397016e-15
445,5.17590313634134e-17,2.52636232874587e-15
446,5.12277995704289e-17,2.52045802362939e-15
447,5.06738236501769e-17,2.51386040461809e-15
448,5.00905130151054e-17,2.50639346962949e-15
449,4.94716031447454e-17,2.49788227561214e-15
450,4.88111951112926e-17,2.48815337897716e-15
451,4.81065528330684e-17,2.47710687522659e-15
452,4.73643938654401e-17,2.46488471484962e-15
453,4.65931418939234e-17,2.4516779675574e-15
454,4.58008790002198e-17,2.43767524996094e-15
455,4.49953081469716e-17,2.4230621631575e-15
456,4.41837293815659e-17,2.40802085820477e-15
457,4.33730287347287e-17,2.39272972522131e-15
458,4.25696787147695e-17,2.37736320088129e-15
459,4.17797492832358e-17,2.36209168845845e-15
460,4.10089279932395e-17,2.34708157740047e-15
461,4.02611591966395e-17,2.33245525174757e-15
462,3.95355528369886e-17,2.31819759427102e-15
463,3.88303166402298e-17,2.30426367778726e-15
464,3.81437575751628e-17,2.29060691282439e-15
465,3.747427694296e-17,2.27717879935599e-15
466,3.68203658552815e-17,2.26392865746819e-15
467,3.61806010821985e-17,2.2508033368173e-15
468,3.55536412515482e-17,2.23774690487278e-15
469,3.49382233819666e-17,2.22470031417479e-15
470,3.43331598503052e-17,2.21160105273143e-15
471,3.3737972332841e-17,2.19840238352777e-15
472,3.31543250580423e-17,2.18512047182817e-15
473,3.25842541304969e-17,2.17178486261616e-15
474,3.20297165320798e-17,2.15842528373961e-15
475,3.14925944398203e-17,2.1450718279071e-15
476,3.09746999370419e-17,2.13175511034838e-15
477,3.04777801819829e-17,2.11850640391283e-15
478,3.0003523102631e-17,2.10535775332337e-15
479,2.95535636909431e-17,2.09234207024126e-15
480,2.91294910120354e-17,2.07949321218144e-15
481,2.87330490263437e-17,2.06685369937638e-15
482,2.83665822224849e-17,2.05449353475693e-15
483,2.80325189580273e-17,2.04249157633453e-15
484,2.77332535034386e-17,2.03093061849058e-15
485,2.74711673535039e-17,2.01989760828443e-15
486,2.72486537816126e-17,2.00948387593073e-15
487,2.70681461156722e-17,1.99978539351825e-15
488,2.69321503347523e-17,1.99090307852816e-15
489,2.68432827478701e-17,1.9829431620242e-15
490,2.68043134674544e-17,1.976017635559e-15
491,2.68169165034535e-17,1.97019431536901e-15
492,2.68786588238318e-17,1.96537810358502e-15
493,2.69863494911989e-17,1.9614404529641e-15
494,2.71368838225831e-17,1.95825337365459e-15
495,2.73272023271485e-17,1.95568919622223e-15
496,2.75542524508485e-17,1.9536204110483e-15
497,2.78149528713723e-17,1.95191959210503e-15
498,2.81061601255527e-17,1.95045941260105e-15
499,2.84246373799297e-17,1.94911275900949e-15
500,2.8767025445108e-17,1.94775295779916e-15
501,2.91310576606622e-17,1.94629699943775e-15
502,2.95185584500771e-17,1.94480646533397e-15
503,2.99324428672643e-17,1.94337804656165e-15
504,3.0375949156606e-17,1.94211534434346e-15
505,3.08526998150036e-17,1.94112983346887e-15
