wav,scat,abs
400,8.09221082766709e-17,1.66766562699995e-15
401,8.0083317262204e-17,1.66388282251257e-15
402,7.92391373148932e-17,1.66007258589652e-15
403,7.83938541969011e-17,1.65628447349949e-15
404,7.75515754444423e-17,1.65256765727406e-15
405,7.6716234604652e-17,1.64897106078586e-15
406,7.58915981920025e-17,1.64554348526315e-15
407,7.50812751699127e-17,1.64233372660966e-15
408,7.42887287908708e-17,1.63939068451228e-15
409,7.35172906575306e-17,1.63676346488957e-15
410,7.27701767737941e-17,1.63450147502377e-15
411,7.20495094154844e-17,1.63263889156395e-15
412,7.13539836954458e-17,1.63115686201879e-15
413,7.06816440222709e-17,1.63002542061058e-15
414,7.00306140497009e-17,1.62921482437808e-15
415,6.93990872490388e-17,1.62869548903214e-15
416,6.87853185461271e-17,1.62843792935024e-15
417,6.81876169479043e-17,1.62841270410296e-15
418,6.76043390953915e-17,1.62859036552827e-15
419,6.70338836902508e-17,1.62894141339364e-15
420,6.64746867704843e-17,1.6294362541696e-15
421,6.5925364361616e-17,1.6300486356475e-15
422,6.53850573732481e-17,1.6307640130518e-15
423,6.48530289745011e-17,1.63157028864834e-15
424,6.43285562961106e-17,1.63245529329161e-15
425,6.38109295014231e-17,1.63340677610347e-15
426,6.32994509982115e-17,1.63441239470985e-15
427,6.27934347878203e-17,1.63545970605888e-15
428,6.22922059486265e-17,1.63653615784796e-15
429,6.17951002512076e-17,1.63762908059119e-15
430,6.13014639510249e-17,1.63872568066089e-15
431,6.08109910174182e-17,1.63981514342921e-15
432,6.032451837819e-17,1.64089376077599e-15
433,5.9843104680801e-17,1.64195942267983e-15
434,5.93677857841842e-17,1.64301012237767e-15
435,5.88995751206083e-17,1.64404395422519e-15
436,5.8439463906076e-17,1.64505910207959e-15
437,5.7988421204008e-17,1.64605381795121e-15
438,5.75473938461801e-17,1.6470263906766e-15
439,5.71173062137453e-17,1.64797510437574e-15
440,5.66990597376121e-17,1.64889818713408e-15
441,5.62926007107761e-17,1.64979814672434e-15
442,5.58947432983918e-17,1.65069228253806e-15
443,5.55017195963487e-17,1.65160116230733e-15
444,5.51098514798019e-17,1.6525455705212e-15
445,5.47155469500312e-17,1.65354645566292e-15
446,5.43152938045406e-17,1.65462474326175e-15
447,5.39056506843082e-17,1.65580101090122e-15
448,5.34832355779011e-17,1.65709502042736e-15
449,5.30447119033844e-17,1.65852510130174e-15
450,5.25867726235199e-17,1.66010737806268e-15
451,5.21078280670599e-17,1.66185937472673e-15
452,5.16119861339194e-17,1.6638115106305e-15
453,5.11044511764551e-17,1.66599778782919e-15
454,5.05903226922284e-17,1.66845383468182e-15
455,5.00746115215336e-17,1.6712177884892e-15
456,4.95622569496182e-17,1.67433105928237e-15
457,4.90581449524102e-17,1.67783897899491e-15
458,4.85671279376723e-17,1.68179134057073e-15
459,4.80940464267424e-17,1.68624283158994e-15
460,4.76437530412663e-17,1.69125336635731e-15
461,4.72202180076109e-17,1.69688622676943e-15
462,4.68243798916935e-17,1.70320178924393e-15
463,4.64565998535246e-17,1.71026098807456e-15
464,4.61173216291196e-17,1.71812687601384e-15
465,4.58070853067679e-17,1.7268650455416e-15
466,4.55265423142053e-17,1.73654409251609e-15
467,4.52764719006102e-17,1.74723612752652e-15
468,4.5057799448039e-17,1.75901734130766e-15
469,4.48716170081749e-17,1.77196863176449e-15
470,4.47192065385046e-17,1.7861762983894e-15
471,4.46020842114049e-17,1.80171555138274e-15
472,4.45220510022384e-17,1.81860961000823e-15
473,4.44811357188369e-17,1.8368738147117e-15
474,4.44815941057493e-17,1.85652747562603e-15
475,4.45259256835812e-17,1.87759390289536e-15
476,4.46168928791464e-17,1.90010044769339e-15
477,4.47575426560922e-17,1.92407854857286e-15
478,4.49512308767296e-17,1.94956377633182e-15
479,4.52016496432135e-17,1.97659586866006e-15
480,4.55128578687463e-17,2.00521874175919e-15
481,4.58892655477574e-17,2.03547226809528e-15
482,4.63355184077689e-17,2.06737168957682e-15
483,4.68565988506552e-17,2.10092650954118e-15
484,4.74578657824138e-17,2.136144719753e-15
485,4.81450615066213e-17,2.17303123561034e-15
486,4.89243119526724e-17,2.21158588683812e-15
487,4.98021171360133e-17,2.2518008446277e-15
488,5.07853277175284e-17,2.29365734133051e-15
489,5.1881102211188e-17,2.33712151078233e-15
490,5.30968375180273e-17,2.38213914933433e-15
491,5.44390486674312e-17,2.42864191585506e-15
492,5.59108389781829e-17,2.47657696775039e-15
493,5.75143979214874e-17,2.52588100892501e-15
494,5.92515994057479e-17,2.57647206366147e-15
495,6.11239009594614e-17,2.6282489847835e-15
496,6.31322329771616e-17,2.68109119030413e-15
497,6.52768796958652e-17,2.73485872361899e-15
498,6.75573543254772e-17,2.78939274365729e-15
499,6.99722716315041e-17,2.8445165601751e-15
500,7.25192224989349e-17,2.90003733094569e-15
501,7.51958651541905e-17,2.95573217571274e-15
502,7.8002495128572e-17,3.01129460799732e-15
503,8.09384323379033e-17,3.06634572772766e-15
504,8.40006987227682e-17,3.12043352343312e-15
505,8.71834486477117e-17,3.17302395687583e-15
506,9.04773196714255e-17,3.22349243031252e-15
507,9.38687127836541e-17,3.27111640167687e-15
508,9.73390230226829e-17,3.31507020642913e-15
509,1.00863857631934e-16,3.35442347467007e-15
510,1.04412299968914e-16,3.3881448835906e-15
511,1.07947502882875e-16,3.41520249326722e-15
512,1.11430933746187e-16,3.43483397475391e-15
513,1.14822535994621e-16,3.44641382814814e-15
