wav,scat,abs
400,1.48640308672823e-17,6.16362165499363e-16
401,1.47111166848869e-17,6.1489998234677e-16
402,1.45578135766749e-17,6.13454697512341e-16
403,1.44047876237715e-17,6.12040002477471e-16
404,1.42526773753837e-17,6.10669500092486e-16
405,1.41020949217863e-17,6.09356763482561e-16
406,1.39536272650608e-17,6.08115385320862e-16
407,1.38078379683534e-17,6.0695901791915e-16
408,1.36652690683281e-17,6.05901404612888e-16
409,1.35264432390807e-17,6.04956402901372e-16
410,1.33918661790697e-17,6.04137999167901e-16
411,1.32618685301719e-17,6.03455643494263e-16
412,1.31362287015604e-17,6.02902917469167e-16
413,1.30146199806088e-17,6.02470055517531e-16
414,1.28967282754677e-17,6.02147340161065e-16
415,1.27822506662269e-17,6.01925088888163e-16
416,1.26708941135033e-17,6.01793641585801e-16
417,1.25623743141657e-17,6.01743348583009e-16
418,1.24564146954103e-17,6.01764559344886e-16
419,1.23527455397267e-17,6.01847611847855e-16
420,1.22511032377621e-17,6.01982822813591e-16
421,1.21512545501158e-17,6.02161635017715e-16
422,1.20530552272209e-17,6.02379404428316e-16
423,1.19563817059558e-17,6.02632312382986e-16
424,1.18611127328889e-17,6.02916526718805e-16
425,1.17671292089709e-17,6.03228198792335e-16
426,1.16743140547333e-17,6.03563460484856e-16
427,1.15825520954379e-17,6.03918421190973e-16
428,1.14917299656925e-17,6.04289164789096e-16
429,1.14017360331144e-17,6.04671746592922e-16
430,1.13124603477847e-17,6.05062190299542e-16
431,1.12238444822207e-17,6.05456595334314e-16
432,1.11359990687633e-17,6.05851402109412e-16
433,1.10490675579846e-17,6.0624310316979e-16
434,1.09631900738352e-17,6.06628166468583e-16
435,1.08785034620212e-17,6.07003034746649e-16
436,1.07951412980644e-17,6.07364121928158e-16
437,1.07132338558614e-17,6.0770780644891e-16
438,1.06329080374865e-17,6.08030421440179e-16
439,1.05542872648809e-17,6.08328241700835e-16
440,1.04774913148556e-17,6.08597468055874e-16
441,1.04025110981577e-17,6.08838523072312e-16
442,1.03289173496523e-17,6.09066435384239e-16
443,1.02562044557498e-17,6.09299549395186e-16
444,1.01838809109632e-17,6.09556494238525e-16
445,1.01114687009579e-17,6.09856173780349e-16
446,1.00385020805027e-17,6.10217719571484e-16
447,9.96452575686201e-18,6.10660405834233e-16
448,9.88909248950673e-18,6.11203525050102e-16
449,9.8117601179473e-18,6.11866221920653e-16
450,9.73208807044266e-18,6.12667281896412e-16
451,9.64987545227669e-18,6.1362186497849e-16
452,9.56572648790556e-18,6.14734494403377e-16
453,9.480400896595e-18,6.16007700139976e-16
454,9.39464558039192e-18,6.17444538989367e-16
455,9.30919855958275e-18,6.19048888350815e-16
456,9.22479272444921e-18,6.20825691002081e-16
457,9.14215945183393e-18,6.22781151084695e-16
458,9.06203214708055e-18,6.24922880793714e-16
459,8.98514978056931e-18,6.27259996533568e-16
460,8.91226047117427e-18,6.29803162867478e-16
461,8.84399479332243e-18,6.32566824920291e-16
462,8.78055997436357e-18,6.35574205483974e-16
463,8.72208544464863e-18,6.3885102510482e-16
464,8.66871688657283e-18,6.42424030729352e-16
465,8.62061925303022e-18,6.46321175695723e-16
466,8.57798010967887e-18,6.50571823179513e-16
467,8.54101336868373e-18,6.5520697623019e-16
468,8.5099634957784e-18,6.6025953822596e-16
469,8.48511028982597e-18,6.65764608404501e-16
470,8.46677435196044e-18,6.71759816642385e-16
471,8.45530337439858e-18,6.78277444173015e-16
472,8.45102461871072e-18,6.85324509323924e-16
473,8.45429043404422e-18,6.92903256524268e-16
474,8.46549267205793e-18,7.01016617064149e-16
475,8.485064547209e-18,7.09668054761402e-16
476,8.5134826560734e-18,7.18861389533368e-16
477,8.55126912239448e-18,7.28600591981997e-16
478,8.59899382230007e-18,7.38889540788311e-16
479,8.65727662724445e-18,7.49731733110678e-16
480,8.72678957574293e-18,7.61129935495338e-16
481,8.80823853634361e-18,7.73081768370173e-16
482,8.90230704893939e-18,7.85569044777646e-16
483,9.00969117104606e-18,7.98566183978772e-16
484,9.13110358695023e-18,8.12041642669636e-16
485,9.26726242917913e-18,8.2595651804186e-16
486,9.4188764445546e-18,8.40262915800234e-16
487,9.58662560896214e-18,8.54902054342034e-16
488,9.77113614977105e-18,8.69802080517356e-16
489,9.97294879902213e-18,8.8487558137425e-16
490,1.01924789805762e-17,9.00016795126742e-16
491,1.0429891260804e-17,9.15113628978666e-16
492,1.06849119232675e-17,9.30085951873447e-16
493,1.09570644526137e-17,9.44854650848773e-16
494,1.1245714055629e-17,9.59333083737395e-16
495,1.15500541664014e-17,9.73428125135336e-16
496,1.18690955623979e-17,9.87041558340573e-16
497,1.22016592322428e-17,1.00007183905919e-15
498,1.25463741849536e-17,1.01241624177732e-15
499,1.29016813643009e-17,1.02397337987948e-15
500,1.32658447220699e-17,1.03464606244028e-15
501,1.36370083640563e-17,1.04432497132904e-15
502,1.40132034663725e-17,1.05283762783624e-15
503,1.43920822628251e-17,1.05998742568276e-15
504,1.47708472079034e-17,1.06556754330768e-15
505,1.51462344638158e-17,1.06936427794421e-15
506,1.55145127309464e-17,1.07116149482353e-15
507,1.58715020784605e-17,1.07074625240007e-15
508,1.62126173255459e-17,1.06791558612437e-15
509,1.6532939867176e-17,1.06248432707933e-15
510,1.682732057811e-17,1.05429370998155e-15
511,1.70909015317553e-17,1.04325827148757e-15
512,1.73203603783027e-17,1.02946433621486e-15
513,1.75133382236448e-17,1.01307800865855e-15
514,1.766830138817e-17,9.94315754538436e-16
515,1.77845857607804e-17,9.73437175146884e-16
516,1.78623974986937e-17,9.5073578838744e-16
517,1.79027717430602e-17,9.26528529244988e-16
518,1.79074947308446e-17,9.01144760617071e-16
519,1.78789975118258e-17,8.74915567818257e-16
520,1.78202310591191e-17,8.48164002430133e-16
521,1.77342850568154e-17,8.21172952194031e-16
522,1.76236434754542e-17,7.94127717594073e-16
523,1.74906699603899e-17,7.67180320336406e-16
524,1.73377177024567e-17,7.40465447737197e-16
525,1.71670912599916e-17,7.14100411863003e-16
526,1.69810154526108e-17,6.88185540733617e-16
527,1.67816110923425e-17,6.62804911067835e-16
528,1.65708770711673e-17,6.38027335880109e-16
529,1.63506781599932e-17,6.13907527839357e-16
530,1.61227377873071e-17,5.90487369777955e-16
531,1.58886547948137e-17,5.67799324588462e-16
532,1.56499488998653e-17,5.45872037355623e-16
533,1.54080111653954e-17,5.24725469354969e-16
534,1.51640934365352e-17,5.04370653965914e-16
535,1.49193130126112e-17,4.84810884322322e-16
536,1.46746590016732e-17,4.66042835501953e-16
537,1.44309998567468e-17,4.48057606207179e-16
538,1.41890916690311e-17,4.30841670942276e-16
539,1.39495868671784e-17,4.14377738573757e-16
540,1.3713043025479e-17,3.98645516182982e-16
