wav,scat,abs
400,6.4857398223821e-17,2.46034321918053e-15
401,6.41821628089575e-17,2.45393616237592e-15
402,6.3496507884244e-17,2.44712973771189e-15
403,6.2802730062084e-17,2.43998856556931e-15
404,6.21030411854981e-17,2.43257668525046e-15
405,6.13995626346427e-17,2.42495746217099e-15
406,6.06943219593909e-17,2.41719350266938e-15
407,5.9989251679975e-17,2.40934657640034e-15
408,5.92861900938711e-17,2.4014775461138e-15
409,5.85868839279459e-17,2.39364630445269e-15
410,5.78929926405334e-17,2.38591171547672e-15
411,5.72057804087635e-17,2.37831743015191e-15
412,5.65253927506375e-17,2.37085809311714e-15
413,5.58517497577562e-17,2.36351807572686e-15
414,5.51847795880823e-17,2.35628193196361e-15
415,5.45244167839894e-17,2.34913444088065e-15
416,5.38706008337186e-17,2.34206064519822e-15
417,5.32232749597517e-17,2.33504588621809e-15
418,5.25823851188597e-17,2.32807583516262e-15
419,5.19478791996868e-17,2.32113652099304e-15
420,5.13197064025815e-17,2.31421435485262e-15
421,5.06978009324231e-17,2.30729715908177e-15
422,5.00820447454462e-17,2.30037652240282e-15
423,4.94723118084313e-17,2.29344496716315e-15
424,4.88684796956245e-17,2.28649520722453e-15
425,4.82704294907173e-17,2.27952015303321e-15
426,4.76780457223615e-17,2.27251291620653e-15
427,4.70912163308135e-17,2.26546681360843e-15
428,4.65098326633904e-17,2.25837537088408e-15
429,4.5933789496498e-17,2.25123232542269e-15
430,4.53629851266253e-17,2.24403163003242e-15
431,4.47976321916642e-17,2.23677670639173e-15
432,4.42389766519288e-17,2.22950239086327e-15
433,4.36884282054632e-17,2.22224987153076e-15
434,4.31473336310277e-17,2.21505999134894e-15
435,4.26169789870518e-17,2.20797324902398e-15
436,4.20985922566411e-17,2.20102980565051e-15
437,4.15933464075333e-17,2.1942694971235e-15
438,4.11023628381277e-17,2.18773185234321e-15
439,4.06267151833376e-17,2.1814561172355e-15
440,4.01674332519834e-17,2.1754812788061e-15
441,3.97241675287463e-17,2.16980781038289e-15
442,3.92920945253375e-17,2.16430695902423e-15
443,3.88656285719009e-17,2.15882348297513e-15
444,3.84393868287382e-17,2.15320302038754e-15
445,3.80081868280025e-17,2.1472921248703e-15
446,3.75670508587699e-17,2.14093837801073e-15
447,3.71112167943849e-17,2.13399057978042e-15
448,3.66361549319593e-17,2.12629901744935e-15
449,3.61375903639672e-17,2.11771581319019e-15
450,3.56115306228512e-17,2.10809535937245e-15
451,3.5056063269824e-17,2.0973528242662e-15
452,3.44753737817664e-17,2.08560015187904e-15
453,3.38747401851902e-17,2.07298887733764e-15
454,3.32592136489887e-17,2.05966818754929e-15
455,3.26335930762357e-17,2.04578444838645e-15
456,3.20024083610924e-17,2.03148082231711e-15
457,3.13699116336643e-17,2.01689697245727e-15
458,3.07400757607796e-17,2.00216884796278e-15
459,3.0116599352835e-17,1.98742854491532e-15
460,2.95029173843797e-17,1.97280423074096e-15
461,2.89013193504109e-17,1.95838750689703e-15
462,2.83109673516824e-17,1.94415777629586e-15
463,2.77304628457934e-17,1.93007061861075e-15
464,2.71584967569111e-17,1.91608081635535e-15
465,2.65938463451319e-17,1.9021422013109e-15
466,2.60353725717832e-17,1.88820749722276e-15
467,2.54820179408664e-17,1.8742281595637e-15
468,2.49328047995399e-17,1.86015421336746e-15
469,2.43868340830405e-17,1.84593409039309e-15
470,2.38432845919192e-17,1.83151447071323e-15
471,2.33019521455658e-17,1.8168594574073e-15
472,2.276444734354e-17,1.80199620640394e-15
473,2.22326665929064e-17,1.78696454582096e-15
474,2.17084055169357e-17,1.77180370378847e-15
475,2.1193361857942e-17,1.75655242443017e-15
476,2.06891389362166e-17,1.74124907122764e-15
477,2.01972496607615e-17,1.72593171928899e-15
478,1.97191210908063e-17,1.71063823811644e-15
479,1.92560995494787e-17,1.69540636651467e-15
480,1.88094563241849e-17,1.68027378266975e-15
481,1.83805550084213e-17,1.66528531211782e-15
482,1.79712142380648e-17,1.65051000926104e-15
483,1.7583261898497e-17,1.63602298679246e-15
484,1.72184328354601e-17,1.62190068281443e-15
485,1.68783834602447e-17,1.60822101417513e-15
486,1.65647078018919e-17,1.59506353968847e-15
487,1.62789549959287e-17,1.58250963661078e-15
488,1.6022648202724e-17,1.57064269284822e-15
489,1.5797304955743e-17,1.55954831625076e-15
