wav,scat,abs
400,7.51326582561929e-17,-7.51326582561929e-17
410,6.80661451434044e-17,-6.80661451434044e-17
420,6.04373936077894e-17,-6.04373936077894e-17
430,5.31874290054432e-17,-5.31874290054432e-17
440,4.68958507532119e-17,-4.68958507532119e-17
450,4.14115765003804e-17,-4.14115765003804e-17
460,3.44998862318699e-17,-3.44998862318699e-17
470,2.75768404223553e-17,-2.75768404223553e-17
480,2.10855717858099e-17,-2.10855717858099e-17
490,1.66471090511419e-17,-1.66471090511419e-17
500,1.49380053202467e-17,-1.49380053202467e-17
510,1.48580269720165e-17,-1.48580269720165e-17
520,1.63305364294464e-17,-1.63305364294464e-17
530,1.83484917313564e-17,-1.83484917313564e-17
540,2.04712691886232e-17,-2.04712691886232e-17
550,2.24380323728533e-17,-2.24380323728533e-17
560,2.43839961235648e-17,-2.43839961235648e-17
570,2.62635351255254e-17,-2.62635351255254e-17
580,2.75226468622984e-17,-2.75226468622984e-17
590,2.89241232755909e-17,-2.89241232755909e-17
600,2.99063428888447e-17,-2.99063428888447e-17
610,3.04808130376143e-17,-3.04808130376143e-17
620,3.10286381856765e-17,-3.10286381856765e-17
630,3.11005635817006e-17,-3.11005635817006e-17
640,3.08509671002605e-17,-3.08509671002605e-17
650,3.02009878090969e-17,-3.02009878090969e-17
660,2.90772123430113e-17,-2.90772123430113e-17
670,2.74241898279065e-17,-2.74241898279065e-17
680,2.52489535771583e-17,-2.52489535771583e-17
690,2.24598809852508e-17,-2.24598809852508e-17
700,1.90049338036273e-17,-1.90049338036273e-17
710,1.49957866982652e-17,-1.49957866982652e-17
720,1.09409047558496e-17,-1.09409047558496e-17
730,8.81497648668103e-18,-8.81497648668103e-18
740,1.34946598843269e-17,-1.34946598843269e-17
750,4.49150282129643e-17,-4.49150282129643e-17
760,1.59295336355925e-16,-1.59295336355925e-16
770,3.63392638497441e-16,-3.63392638497441e-16
780,4.73933127663841e-16,-4.73933127663841e-16
790,4.16843924900473e-16,-4.16843924900473e-16
800,3.43345597443023e-16,-3.43345597443023e-16
810,2.89957486139655e-16,-2.89957486139655e-16
820,2.5348716633772e-16,-2.5348716633772e-16
830,2.27956181654973e-16,-2.27956181654973e-16
840,2.0980097738131e-16,-2.0980097738131e-16
850,1.96578514580431e-16,-1.96578514580431e-16
860,1.86537298149418e-16,-1.86537298149418e-16
870,1.7820207993382e-16,-1.7820207993382e-16
880,1.71984846294299e-16,-1.71984846294299e-16
890,1.67015101713946e-16,-1.67015101713946e-16
900,1.63004919619046e-16,-1.63004919619046e-16
910,1.59741226122241e-16,-1.59741226122241e-16
920,1.57050418222922e-16,-1.57050418222922e-16
930,1.54073291871389e-16,-1.54073291871389e-16
940,1.5225426246598e-16,-1.5225426246598e-16
950,1.50743414158562e-16,-1.50743414158562e-16
960,1.48713100662585e-16,-1.48713100662585e-16
970,1.47706617179541e-16,-1.47706617179541e-16
980,1.46869931098079e-16,-1.46869931098079e-16
990,1.4542227632572e-16,-1.4542227632572e-16
1000,1.448968024429e-16,-1.448968024429e-16
