wav,scat,abs
400,1.01401558975019e-16,2.99823943524441e-15
401,1.00341437135541e-16,2.9905222134712e-15
402,9.92636874283113e-17,2.98229890743227e-15
403,9.81726735104159e-17,2.97366371688295e-15
404,9.70725927786746e-17,2.96470994235423e-15
405,9.59674666036514e-17,2.95552984699572e-15
406,9.48611350015497e-17,2.94621454293363e-15
407,9.37572554297836e-17,2.9368539016875e-15
408,9.26593053858998e-17,2.92753648794634e-15
409,9.15705884938088e-17,2.91834951579224e-15
410,9.04942436888093e-17,2.90937882357059e-15
411,8.94325707668175e-17,2.9006870408338e-15
412,8.83854439375573e-17,2.89226137951953e-15
413,8.73522602098882e-17,2.88407333211782e-15
414,8.63324493435836e-17,2.8760947652475e-15
415,8.53254699990625e-17,2.8682979464597e-15
416,8.43308064007359e-17,2.86065556950688e-15
417,8.33479654775505e-17,2.85314077820228e-15
418,8.23764744476043e-17,2.8457271889252e-15
419,8.14158788165548e-17,2.83838891176622e-15
420,8.04657407633682e-17,2.83110057054531e-15
421,7.95256480833289e-17,2.82383951950675e-15
422,7.85952369325145e-17,2.81659103250976e-15
423,7.76741625068428e-17,2.80934223135831e-15
424,7.67620910989172e-17,2.80208047566361e-15
425,7.58586998035806e-17,2.79479336874764e-15
426,7.49636762960074e-17,2.78746876354472e-15
427,7.40767186774416e-17,2.78009476845432e-15
428,7.31975353838564e-17,2.77265975309485e-15
429,7.23258451529474e-17,2.76515235390489e-15
430,7.14613771201092e-17,2.75756148125399e-15
431,7.06043951557407e-17,2.74988841402664e-15
432,6.97569132692759e-17,2.74217555460685e-15
433,6.89212321339824e-17,2.73447379589758e-15
434,6.80995566473345e-17,2.72683378131597e-15
435,6.72939990687714e-17,2.71930590120752e-15
436,6.65065828936871e-17,2.71194029600461e-15
437,6.573924741892e-17,2.70478686627897e-15
438,6.4993852957995e-17,2.69789528983118e-15
439,6.42721866680053e-17,2.69131504595787e-15
440,6.35759686248356e-17,2.68509543991116e-15
441,6.29047043075655e-17,2.67923865412635e-15
442,6.22506989364798e-17,2.67358814864225e-15
443,6.16050108171364e-17,2.66795430420322e-15
444,6.09590020666926e-17,2.66214796198708e-15
445,6.03043354319156e-17,2.65598046377513e-15
446,5.96329819061062e-17,2.64926377516275e-15
447,5.89372385925947e-17,2.64181069469939e-15
448,5.82097562184838e-17,2.63343515177733e-15
449,5.74435756269036e-17,2.62395259594961e-15
450,5.66321729522204e-17,2.61318049219679e-15
451,5.57724445178173e-17,2.60101331884608e-15
452,5.48713943496384e-17,2.58759748848814e-15
453,5.39378435025952e-17,2.57313041586412e-15
454,5.29802410543056e-17,2.55780680314369e-15
455,5.20066217931591e-17,2.54181804626393e-15
456,5.10245786880237e-17,2.5253517693426e-15
457,5.00412490043067e-17,2.50859148242454e-15
458,4.90633128421458e-17,2.49171635665321e-15
459,4.80970028482596e-17,2.4749011101815e-15
460,4.71481236254698e-17,2.45831599052705e-15
461,4.62205914325956e-17,2.44208508217062e-15
462,4.53131370082662e-17,2.42618912214286e-15
463,4.44235438515759e-17,2.41057799004628e-15
464,4.354972404933e-17,2.39520008148078e-15
465,4.26897129311283e-17,2.38000207531913e-15
466,4.18416644155947e-17,2.36492868613608e-15
467,4.10038470340539e-17,2.34992240224374e-15
468,4.01746406223503e-17,2.33492321000346e-15
469,3.93525336761069e-17,2.31986830538905e-15
470,3.85361215226587e-17,2.30469179814666e-15
471,3.77249314915148e-17,2.28934625061422e-15
472,3.69212720692062e-17,2.27385483599653e-15
473,3.61279145327015e-17,2.25825550672043e-15
474,3.53475044975925e-17,2.24258619117866e-15
475,3.45825670011741e-17,2.22688498216863e-15
476,3.38355121888442e-17,2.21119030475094e-15
477,3.31086416481837e-17,2.19554106574394e-15
478,3.24041554397452e-17,2.17997678709637e-15
479,3.1724159876794e-17,2.16453772538471e-15
480,3.10706761573135e-17,2.14926498124846e-15
481,3.04459010436354e-17,2.13420894147126e-15
482,2.9852778519287e-17,2.11944960206561e-15
483,2.92943140049568e-17,2.10507593280743e-15
484,2.87734157065482e-17,2.0911804733005e-15
485,2.82929173550471e-17,2.0778595659769e-15
486,2.78556036597847e-17,2.06521359765135e-15
487,2.7464238622562e-17,2.05334725641313e-15
488,2.71215968837211e-17,2.0423698101329e-15
489,2.68304983103206e-17,2.03239541228105e-15
490,2.65938458211336e-17,2.02354342973247e-15
491,2.6413312293673e-17,2.0158874273443e-15
492,2.62862397532737e-17,2.00933490321263e-15
