wav,scat,abs
400,5.23132524743863e-18,3.04003910030389e-16
401,5.17759747832323e-18,3.03231495533523e-16
402,5.12377712994215e-18,3.02469808749918e-16
403,5.07008855431444e-18,3.01725208481116e-16
404,5.01674684528433e-18,3.01004006601857e-16
405,4.96395822742275e-18,3.00312497245353e-16
406,4.91192053579137e-18,2.99656980902793e-16
407,4.86082378088046e-18,2.99043783654055e-16
408,4.81085079429529e-18,2.98479271754616e-16
409,4.76217795188068e-18,2.97969861790725e-16
410,4.71497596517318e-18,2.97522026310437e-16
411,4.66935619579325e-18,2.97140102298537e-16
412,4.62524257533817e-18,2.96820973892028e-16
413,4.58252333414424e-18,2.96559954677671e-16
414,4.54109097249606e-18,2.96352382553332e-16
415,4.50084177678832e-18,2.9619361411382e-16
416,4.46167538780524e-18,2.96079019244409e-16
417,4.42349441777884e-18,2.9600397594725e-16
418,4.38620411336192e-18,2.95963865419429e-16
419,4.3497120620704e-18,2.95954067396084e-16
420,4.31392794125263e-18,2.95969955840854e-16
421,4.27877183328583e-18,2.96007446554478e-16
422,4.2441943091325e-18,2.96064326077091e-16
423,4.21015302945516e-18,2.96138777314983e-16
424,4.17660644969659e-18,2.96228979246219e-16
425,4.1435137672433e-18,2.96333105551978e-16
426,4.11083487535761e-18,2.96449323226184e-16
427,4.07853032368809e-18,2.96575791161291e-16
428,4.04656128519183e-18,2.96710658708139e-16
429,4.01488952932272e-18,2.96852064208024e-16
430,3.98347740372866e-18,2.96998133496104e-16
431,3.95230444142885e-18,2.97146982549563e-16
432,3.92140651869202e-18,2.97296724379413e-16
433,3.89083043983153e-18,2.9744545544228e-16
434,3.86062189141518e-18,2.97591253229242e-16
435,3.83082545833615e-18,2.97732176005473e-16
436,3.80148462537373e-18,2.97866261182444e-16
437,3.77264176453153e-18,2.97991522286804e-16
438,3.74433810842172e-18,2.98105944493257e-16
439,3.71661370993516e-18,2.98207478694064e-16
440,3.68950738218356e-18,2.98294034431188e-16
441,3.66301589304551e-18,2.98365763673414e-16
442,3.63699913818739e-18,2.98430582776129e-16
443,3.61129231068761e-18,2.98498178207693e-16
444,3.58573539603836e-18,2.9857839519322e-16
445,3.56017296211577e-18,2.98681233705192e-16
446,3.53445373637608e-18,2.98816828107192e-16
447,3.50842997414398e-18,2.98995410103035e-16
448,3.48195662170028e-18,2.99227254387237e-16
449,3.45489027777877e-18,2.99522605998246e-16
450,3.42708797004325e-18,2.99891587536946e-16
451,3.39848560104005e-18,3.00342262497014e-16
452,3.36928444861339e-18,3.00876351202205e-16
453,3.33973704333022e-18,3.01494342469412e-16
454,3.31009178711341e-18,3.02196961592719e-16
455,3.28059435748621e-18,3.02985306236352e-16
456,3.25148902874511e-18,3.03860958411847e-16
457,3.22301992662295e-18,3.04826072497811e-16
458,3.19543223644932e-18,3.05883438857113e-16
459,3.16897338712512e-18,3.07036522185479e-16
460,3.14389422707882e-18,3.08289473498829e-16
461,3.12040730849739e-18,3.09648449435264e-16
462,3.0985861895888e-18,3.11124644162047e-16
463,3.07847909371782e-18,3.12730639170468e-16
464,3.06013990684932e-18,3.14479521657749e-16
465,3.04362923961753e-18,3.16384971179567e-16
466,3.0290156055209e-18,3.18461357860773e-16
467,3.01637673901473e-18,3.20723853692496e-16
468,3.00580108231651e-18,3.23188558781611e-16
469,2.99738947590633e-18,3.25872644824643e-16
470,2.99125709385116e-18,3.28794517824398e-16
471,2.98752731859928e-18,3.31969860599821e-16
472,2.98631173804059e-18,3.3540161762979e-16
473,2.98772924711976e-18,3.39090227898872e-16
474,2.99191186247373e-18,3.4303634425763e-16
475,2.99900521382929e-18,3.47240738090831e-16
476,3.00916906113047e-18,3.51704190418958e-16
477,3.02257781958874e-18,3.56427365718341e-16
478,3.03942106950152e-18,3.61410664093855e-16
479,3.05990402057386e-18,3.66654046659905e-16
480,3.08424788976046e-18,3.72156827690899e-16
481,3.11268243081867e-18,3.7791542509068e-16
482,3.14542420088959e-18,3.83917974587137e-16
483,3.18268946014598e-18,3.9014850566646e-16
484,3.22469524188962e-18,3.96587627613773e-16
485,3.27165459751091e-18,4.03211805601872e-16
486,3.32377048515487e-18,4.09992530535793e-16
487,3.38122801053508e-18,4.16895374669521e-16
488,3.44418469560805e-18,4.23878929238106e-16
489,3.51275842879802e-18,4.30893627375374e-16
490,3.58701274467686e-18,4.37880468006053e-16
491,3.66691985667233e-18,4.44777802868276e-16
492,3.75231503764586e-18,4.51542179507162e-16
493,3.84296428801089e-18,4.58131639738475e-16
494,3.93857663272158e-18,4.64501220334943e-16
495,4.03880111707254e-18,4.70603646879195e-16
496,4.14322507606548e-18,4.76390200799873e-16
497,4.25137405072169e-18,4.81811762017593e-16
498,4.36271370934823e-18,4.86820020054978e-16
499,4.47665408557486e-18,4.91368834994599e-16
500,4.59255636577931e-18,4.95415714850587e-16
501,4.70974555204413e-18,4.98913160623815e-16
502,4.82749095063148e-18,5.01782377298379e-16
503,4.94494202951987e-18,5.03934779522442e-16
504,5.06111654075168e-18,5.05279642753989e-16
505,5.1749015932943e-18,5.05726010425252e-16
506,5.28506023617533e-18,5.05185042193222e-16
507,5.39024465644007e-18,5.03572784974704e-16
508,5.4890169012172e-18,5.00813308945915e-16
509,5.57987767494002e-18,4.96842103906358e-16
510,5.66130325856142e-18,4.91609585083699e-16
511,5.73192265696943e-18,4.85102209904596e-16
512,5.79092609617716e-18,4.77386382847797e-16
513,5.83783757368019e-18,4.68562652833856e-16
514,5.87244902195997e-18,4.58750708922851e-16
515,5.89482018998147e-18,4.48085266474066e-16
516,5.90526600020057e-18,4.36711408493406e-16
517,5.90433297198051e-18,4.24779720450987e-16
518,5.89276711722435e-18,4.12441548824021e-16
519,5.8714761908594e-18,3.99844670852538e-16
520,5.84148927727653e-18,3.8712959269642e-16
521,5.80383618546279e-18,3.7441594644513e-16
522,5.75931635824835e-18,3.61777937470997e-16
523,5.70866884332803e-18,3.49274258132584e-16
524,5.65261278134014e-18,3.3695565200006e-16
525,5.59183878655703e-18,3.24865182673264e-16
526,5.52700236284004e-18,3.13038635077876e-16
527,5.45871917965722e-18,3.01505012143897e-16
528,5.38756199555213e-18,2.90287093805423e-16
529,5.31405899851303e-18,2.79402029988855e-16
530,5.23869333181451e-18,2.68861944456621e-16
531,5.16190980397711e-18,2.5867545470804e-16
532,5.08413011250457e-18,2.48850130222269e-16
533,5.00573785534112e-18,2.39390310641362e-16
534,4.92707588479451e-18,2.30296969674525e-16
535,4.84844826059138e-18,2.21568202846592e-16
536,4.77012253219355e-18,2.13199679420579e-16
537,4.6923322307252e-18,2.05185055115169e-16
538,4.6152794716737e-18,1.97516344186524e-16
539,4.53913758881537e-18,1.90184250955901e-16
540,4.46405373253516e-18,1.83178461655525e-16
541,4.39013478856834e-18,1.76486706640688e-16
542,4.31741548525484e-18,1.70092676715743e-16
543,4.24590844195176e-18,1.63979837494883e-16
544,4.17561751128249e-18,1.58132334138452e-16
545,4.10653931554116e-18,1.52535015485488e-16
546,4.03866457395138e-18,1.47173445559531e-16
547,3.9719792457982e-18,1.42033905134643e-16
548,3.906465512033e-18,1.37103385579416e-16
549,3.84210261560258e-18,1.32369576798069e-16
550,3.77886757903212e-18,1.27820850888025e-16
551,3.71673756979104e-18,1.23446713120272e-16
552,3.65569424241532e-18,1.19238746969929e-16
553,3.59571940758941e-18,1.15189242888445e-16
554,3.53679413902987e-18,1.11290861212403e-16
555,3.47889900985216e-18,1.07536619958468e-16
556,3.42201429451251e-18,1.03919882005994e-16
557,3.3661201404395e-18,1.00434341901519e-16
558,3.31119671301223e-18,9.7074012475822e-17
559,3.25722431713009e-18,9.38332114274366e-17
560,3.20418350722689e-18,9.07065485621905e-17
561,3.15208421360778e-18,8.76907248817555e-17
562,3.10102429958063e-18,8.47880263983842e-17
563,3.05110570301014e-18,8.20008981599286e-17
564,3.00241560133227e-18,7.93308019420266e-17
565,2.95502770813095e-18,7.67783502036308e-17
566,2.90900359078844e-18,7.43434325215154e-17
567,2.86439398374766e-18,7.20253334894467e-17
568,2.82124007748901e-18,6.98228415170644e-17
569,2.77957476838552e-18,6.77343483346989e-17
570,2.73942384464408e-18,6.57579385168898e-17
571,2.70076249924196e-18,6.3889049650393e-17
572,2.66342560773627e-18,6.21157781493175e-17
573,2.62723452406132e-18,6.04259651657616e-17
574,2.59202573705096e-18,5.88087081543863e-17
575,2.55764942908541e-18,5.72542193337029e-17
576,2.52396830547168e-18,5.57537088481437e-17
577,2.49085665398803e-18,5.42992885101486e-17
578,2.45819959949135e-18,5.28838926640681e-17
579,2.42589252271552e-18,5.15012132339603e-17
580,2.39384062723822e-18,5.01456470184516e-17
581,2.36199287088993e-18,4.88139848144137e-17
582,2.33041098345462e-18,4.75087789026238e-17
583,2.29917195434414e-18,4.62332589624459e-17
584,2.26834518007089e-18,4.49901760712047e-17
585,2.23799280196148e-18,4.37818378352189e-17
586,2.20817009889294e-18,4.26101449914911e-17
587,2.17892592101827e-18,4.14766286155712e-17
588,2.15030315208799e-18,4.03824872172879e-17
589,2.12233918965659e-18,3.9328623144592e-17
590,2.09506643011729e-18,3.83156776767529e-17
591,2.06850147292268e-18,3.73435991070048e-17
592,2.0426228273792e-18,3.64107643411703e-17
593,2.0174029825604e-18,3.55153503024406e-17
594,1.9928158658581e-18,3.46556433516804e-17
595,1.96883675211347e-18,3.38300317294471e-17
596,1.94544217935689e-18,3.30369985949851e-17
597,1.92260987061771e-18,3.22751156095265e-17
598,1.9003186613129e-18,3.15430370163261e-17
599,1.87854843176746e-18,3.08394941744245e-17
600,1.85728004182473e-18,3.01632903670716e-17
601,1.83648818757059e-18,2.95129206049407e-17
602,1.81612694916465e-18,2.88858138223503e-17
603,1.79614929416537e-18,2.82793772254792e-17
604,1.77651149062185e-18,2.76912259546981e-17
605,1.75717289038969e-18,2.71191662543754e-17
606,1.73809574616392e-18,2.65611811432324e-17
607,1.71924505782157e-18,2.60154182452783e-17
608,1.70058844411686e-18,2.54801794821056e-17
609,1.68209603614148e-18,2.49539123607919e-17
610,1.66374039430434e-18,2.44352028308001e-17
611,1.64550939980983e-18,2.39233107436147e-17
612,1.62743231128581e-18,2.34192364854973e-17
613,1.60954377139191e-18,2.29241884887813e-17
614,1.59187543189801e-18,2.2439233165368e-17
615,1.57445608397489e-18,2.19653036071418e-17
616,1.55731180711667e-18,2.15032088021783e-17
617,1.540466132482e-18,2.1053643163969e-17
618,1.52394021691663e-18,2.06171962002147e-17
619,1.50775302440424e-18,2.01943621760751e-17
620,1.49192150859045e-18,1.97855495439753e-17
621,1.47645197003437e-18,1.93908224656415e-17
622,1.46132245205948e-18,1.90093855679578e-17
623,1.44650707236416e-18,1.86403450692395e-17
624,1.43198161009185e-18,1.82828786754992e-17
625,1.41772338171789e-18,1.79362296027551e-17
626,1.40371113166078e-18,1.75997012127968e-17
627,1.38992493594788e-18,1.72726521852855e-17
628,1.3763461174616e-18,1.69544921590556e-17
629,1.36295717145973e-18,1.66446777840784e-17
630,1.34974170134139e-18,1.63427091393852e-17
631,1.33668704514837e-18,1.60481406301324e-17
632,1.32378962171295e-18,1.57605998991987e-17
633,1.31104757269572e-18,1.54797376416021e-17
634,1.298459042766e-18,1.52052169836905e-17
635,1.28602218113416e-18,1.4936713179541e-17
636,1.27373514295089e-18,1.46739133093044e-17
637,1.26159609058286e-18,1.4416515979941e-17
638,1.24960319477345e-18,1.41642310287424e-17
639,1.23775463569656e-18,1.39167792299929e-17
640,1.22604860488404e-18,1.36738920635305e-17
641,1.21448550528004e-18,1.34354435915603e-17
642,1.20307235716936e-18,1.32017150126512e-17
643,1.19181683797353e-18,1.29730363298231e-17
644,1.18072592530976e-18,1.27497045341421e-17
645,1.16980593975908e-18,1.25319858754503e-17
646,1.15906258835765e-18,1.23201181637604e-17
647,1.14850100845243e-18,1.21143130814021e-17
648,1.13812581161523e-18,1.1914758489246e-17
649,1.12794112735944e-18,1.17216207134003e-17
650,1.11795064405791e-18,1.15350467079015e-17
651,1.10815244051903e-18,1.13549625834303e-17
652,1.09852857052738e-18,1.1180669870357e-17
653,1.08905906062083e-18,1.10113966089898e-17
654,1.07972510360438e-18,1.08464217158292e-17
655,1.07050898627056e-18,1.0685071300986e-17
656,1.06139403004543e-18,1.05267156238199e-17
657,1.05236454309967e-18,1.03707666107203e-17
658,1.04340578259976e-18,1.02166758668695e-17
659,1.03450392588045e-18,1.00639331200905e-17
